SN,TermEn,TermCN
1,Country,国家
2,CountryID,国家编号
3,Continent,大陆
4,Adolescent fertility rate (%),青少年生育率（％）
5,Adult literacy rate (%),成人识字率（％）
6,Gross national income per capita (PPP international $),人均国民总收入（PPP国际美元）
7,Net primary school enrolment ratio female (%),小学净入学率比女性（％）
8,Net primary school enrolment ratio male (%),小学净入学率比男性（％）
9,Population (in thousands) total,人口（千）总
10,Population annual growth rate (%),人口年均增长率（％）
11,Population in urban areas (%),在市区人口（％）
12,Population living below the poverty line (% living on &lt; US$1 per day),生活在贫困线以下的人口（％<生活每天1美元）
13,Population median age (years),人口年龄中位数（年）
14,Population proportion over 60 (%),60岁以上人口的比例（％）
15,Population proportion under 15 (%),15岁以下人口的比例（％）
16,Registration coverage of births (%),出生登记覆盖（％）
17,Total fertility rate (per woman),总和生育率（每名妇女）
18,Antenatal care coverage - at least four visits (%),产前保健覆盖率 - 至少四次（％）
19,Antiretroviral therapy coverage among HIV-infected pregt women for PMTCT (%),抗逆转录病毒治疗艾滋病毒感染pregt妇女预防艾滋病母婴传播覆盖面（％）
20,Antiretroviral therapy coverage among people with advanced HIV infections (%),先进的艾滋病毒感染（％）的人之间的抗逆转录病毒疗法的覆盖率
21,Births attended by skilled health personnel (%),接生由熟练保健人员（％）
22,Births by caesarean section (%),通过剖腹产出生（％）
23,Children aged 6-59 months who received vitamin A supplementation (%),6-59个月收到补充维生素A（％）的儿童
24,Children aged &lt;5 years sleeping under insecticide-treated nets (%),儿童年龄<5岁睡在驱虫蚊帐（％）
25,Children aged &lt;5 years who received any antimalarial treatment for fever (%),儿童年龄<5岁，谁收到任何抗疟治疗发烧（％）
26,Children aged &lt;5 years with ARI symptoms taken to facility (%),岁的儿童5岁，患急性呼吸道感染症状采取设施（％）
27,Children aged &lt;5 years with diarrhoea receiving ORT (%),岁的儿童5岁腹泻的口服补液疗法（％）
28,Contraceptive prevalence (%),避孕普及率（％）
29,Neonates protected at birth against neonatal tetanus (PAB) (%),新生儿出生时的保护对新生儿破伤风（PAB）（％）
