序号 类别 x1 x2 x3 x4
1 I 8.11 261.01 13.23 7.36
2 I 9.36 185.39 9.02 5.99
3 I 9.85 249.58 15.61 6.11
4 I 2.55 137.13 9.21 4.35
5 I 6.01 231.34 14.27 8.79
6 I 9.64 231.38 13.03 8.53
7 I 4.11 260.25 14.72 10.02
8 I 8.90 259.91 14.16 9.79
9 I 7.71 273.84 16.01 8.79
10 I 7.51 303.59 19.14 8.53
11 I 8.06 231.03 14.41 6.15
12 II 6.80 308.90 15.11 8.49
13 II 8.68 258.69 14.02 7.16
14 II 5.67 355.54 15.13 9.43
15 II 8.10 476.69 7.38 11.32
16 II 3.71 316.32 17.12 8.17
17 II 5.37 274.57 16.75 9.67
18 II 9.89 409.42 19.47 10.49
19 III 5.22 330.34 18.19 9.61
20 III 4.71 331.47 21.26 13.72
21 III 4.71 352.50 20.79 11.00
22 III 3.36 347.31 17.90 11.19
23 III 8.27 189.56 12.74 6.94
